trial	subject	repetition	x	y	random
train	rat7	0	0.05363962	0.4064823	false
train	rat7	0	0.060710687	0.41355336	false
train	rat7	0	0.07071069	0.41355336	false
train	rat7	0	0.08071069	0.41355336	false
train	rat7	0	0.08071069	0.40355337	false
train	rat7	0	0.08071069	0.39355338	false
train	rat7	0	0.08071069	0.38355336	false
train	rat7	0	0.08071068	0.37355337	false
train	rat7	0	0.08071068	0.36355338	false
train	rat7	0	0.08071068	0.35355335	false
train	rat7	0	0.08071068	0.34355336	false
train	rat7	0	0.08071068	0.33355337	false
train	rat7	0	0.08778174	0.3264823	false
train	rat7	0	0.08778174	0.3164823	false
train	rat7	0	0.08071067	0.30941123	false
train	rat7	0	0.070710674	0.30941123	false
train	rat7	0	0.06363961	0.3164823	false
train	rat7	0	0.06363961	0.3264823	false
train	rat7	0	0.06363961	0.33648232	false
train	rat7	0	0.06363962	0.3464823	false
train	rat7	0	0.06363962	0.3564823	false
train	rat7	0	0.07071068	0.34941125	false
train	rat7	0	0.08071068	0.34941122	false
train	rat7	0	0.08778175	0.34234017	false
train	rat7	0	0.09485281	0.3352691	false
train	rat7	0	0.10192388	0.32819802	false
train	rat7	0	0.10192388	0.31819803	false
train	rat7	0	0.101923876	0.30819803	false
train	rat7	0	0.101923876	0.298198	false
train	rat7	0	0.094852805	0.29112697	false
train	rat7	0	0.087781735	0.2840559	false
train	rat7	0	0.080710664	0.27698484	false
train	rat7	0	0.080710664	0.26698482	false
train	rat7	0	0.080710664	0.25698483	false
train	rat7	0	0.08071066	0.24698482	false
train	rat7	0	0.08071066	0.23698483	false
train	rat7	0	0.08071066	0.22698483	false
train	rat7	0	0.08071066	0.21698482	false
train	rat7	0	0.08071065	0.20698483	false
train	rat7	0	0.08071065	0.19698483	false
train	rat7	0	0.08778171	0.18991376	false
train	rat7	0	0.08778172	0.19991376	false
train	rat7	0	0.08778172	0.20991376	false
train	rat7	0	0.08778172	0.21991377	false
train	rat7	0	0.09485279	0.22698483	false
train	rat7	0	0.10485279	0.22698483	false
train	rat7	0	0.11485279	0.22698483	false
train	rat7	0	0.12485279	0.22698481	false
train	rat7	0	0.13192385	0.23405589	false
train	rat7	0	0.13192385	0.24405588	false
train	rat7	0	0.13192387	0.2540559	false
train	rat7	0	0.13899493	0.26112697	false
train	rat7	0	0.146066	0.268198	false
train	rat7	0	0.13899493	0.26112697	false
train	rat7	0	0.13899493	0.25112695	false
train	rat7	0	0.146066	0.24405588	false
train	rat7	0	0.13899492	0.23698482	false
train	rat7	0	0.13192385	0.22991376	false
train	rat7	0	0.13192385	0.21991375	false
train	rat7	0	0.13192385	0.20991375	false
train	rat7	0	0.14192384	0.20991375	false
train	rat7	0	0.14899492	0.21698482	false
train	rat7	0	0.15899491	0.21698481	false
train	rat7	0	0.16899492	0.21698481	false
train	rat7	0	0.17899492	0.21698481	false
train	rat7	0	0.16899492	0.21698481	false
train	rat7	0	0.16192384	0.20991375	false
train	rat7	0	0.16192384	0.19991374	false
train	rat7	0	0.16192384	0.18991375	false
train	rat7	0	0.16192384	0.17991374	false
train	rat7	0	0.16192384	0.16991375	false
train	rat7	0	0.15485276	0.16284268	false
train	rat7	0	0.14485277	0.16284269	false
train	rat7	0	0.1377817	0.15577161	false
train	rat7	0	0.1277817	0.15577163	false
train	rat7	0	0.1177817	0.15577163	false
train	rat7	0	0.110710636	0.16284269	false
